Source Target Weight
朝圣 信仰 86698
朝圣 藏民 23137
朝圣 生活 46931
朝圣 导演 24554
朝圣 冈仁波齐 45862
朝圣 宗教 30484
朝圣 虔诚 18032
朝圣 片子 11600
朝圣 幸福 8137
朝圣 西藏 41768
朝圣 这部 28960
朝圣 电影 94851
朝圣 拉萨 18283
朝圣 影片 22142
朝圣 路上 24045
朝圣 愚昧 13680
朝圣 磕头 29962
朝圣 忠诚 101
朝圣 高票 1608
信仰 朝圣 86698
信仰 藏民 31855
信仰 生活 60451
信仰 导演 28636
信仰 冈仁波齐 47972
信仰 宗教 47436
信仰 虔诚 24363
信仰 片子 15958
信仰 幸福 10924
信仰 西藏 55018
信仰 这部 38070
信仰 电影 121073
信仰 拉萨 19045
信仰 影片 25324
信仰 路上 25206
信仰 愚昧 21860
信仰 磕头 41747
信仰 忠诚 184
信仰 高票 2419
藏民 朝圣 23137
藏民 信仰 31855
藏民 生活 15704
藏民 导演 8300
藏民 冈仁波齐 13459
藏民 宗教 11334
藏民 虔诚 6014
藏民 片子 3948
藏民 幸福 2780
藏民 西藏 14892
藏民 这部 9910
藏民 电影 32216
藏民 拉萨 5415
藏民 影片 6856
藏民 路上 6942
藏民 愚昧 5261
藏民 磕头 10597
藏民 高票 639
藏民 忠诚 19
生活 朝圣 46931
生活 信仰 60451
生活 藏民 15704
生活 导演 16372
生活 冈仁波齐 28058
生活 宗教 21944
生活 虔诚 11128
生活 片子 7823
生活 幸福 5349
生活 西藏 29256
生活 这部 20245
生活 电影 64099
生活 拉萨 10515
生活 影片 13831
生活 路上 13946
生活 愚昧 9966
生活 磕头 19126
生活 忠诚 25
生活 高票 1140
导演 朝圣 24554
导演 信仰 28636
导演 藏民 8300
导演 生活 16372
导演 冈仁波齐 15602
导演 宗教 11395
导演 虔诚 5428
导演 片子 4386
导演 幸福 2114
导演 西藏 15088
导演 这部 11126
导演 电影 34786
导演 拉萨 5644
导演 影片 8097
导演 路上 7177
导演 愚昧 4461
导演 磕头 9512
导演 忠诚 17
导演 高票 526
冈仁波齐 朝圣 45862
冈仁波齐 信仰 47972
冈仁波齐 藏民 13459
冈仁波齐 生活 28058
冈仁波齐 导演 15602
冈仁波齐 宗教 16152
冈仁波齐 虔诚 9672
冈仁波齐 片子 7112
冈仁波齐 幸福 5001
冈仁波齐 西藏 27019
冈仁波齐 这部 18099
冈仁波齐 电影 58269
冈仁波齐 拉萨 11830
冈仁波齐 影片 13901
冈仁波齐 路上 14000
冈仁波齐 愚昧 7447
冈仁波齐 磕头 16586
冈仁波齐 忠诚 54
冈仁波齐 高票 806
宗教 朝圣 30484
宗教 信仰 47436
宗教 藏民 11334
宗教 生活 21944
宗教 导演 11395
宗教 冈仁波齐 16152
宗教 虔诚 8544
宗教 片子 5799
宗教 幸福 3487
宗教 西藏 20834
宗教 这部 13687
宗教 电影 43332
宗教 拉萨 6700
宗教 影片 8265
宗教 路上 8440
宗教 愚昧 8201
宗教 磕头 14996
宗教 忠诚 50
宗教 高票 940
虔诚 朝圣 18032
虔诚 信仰 24363
虔诚 藏民 6014
虔诚 生活 11128
虔诚 导演 5428
